Date,Building,Water Consumption,Electricity Consumption,Gas Consumption
01/01/2016,B1000,346159,38819,3378
01/01/2016,B1001,281717,46252,2187
01/01/2016,B1002,259530,41091,3173
01/01/2016,B1003,309176,25577,3581
01/01/2016,B1004,257742,33917,4709
01/01/2016,B1005,276221,35698,2810
01/01/2016,B1006,401399,35458,3660
01/01/2016,B1007,413543,29061,2149
01/01/2016,B1008,343048,30666,4075
01/01/2016,B1009,412804,23541,3263
01/01/2016,B1010,417348,33490,3067
02/01/2016,B1000,437812,41404,4822
02/01/2016,B1001,370356,50269,2872
02/01/2016,B1002,231200,38796,4414
02/01/2016,B1003,336263,30638,2861
02/01/2016,B1004,267027,47231,3846
02/01/2016,B1005,424629,21445,3802
02/01/2016,B1006,453536,43418,4704
02/01/2016,B1007,252241,49719,2499
02/01/2016,B1008,202733,32055,3200
02/01/2016,B1009,258350,33749,3946
02/01/2016,B1010,408801,22845,4403
03/01/2016,B1000,242522,27059,2617
03/01/2016,B1001,363959,33456,2317
03/01/2016,B1002,424409,26934,2160
03/01/2016,B1003,423089,35397,4854
03/01/2016,B1004,234020,34906,3400
03/01/2016,B1005,417242,40682,3773
03/01/2016,B1006,398217,33341,4886
03/01/2016,B1007,461819,29178,2844
03/01/2016,B1008,239402,48668,2327
03/01/2016,B1009,238633,29262,4298
03/01/2016,B1010,471206,29866,4075
04/01/2016,B1000,266742,36271,3267
04/01/2016,B1001,242610,50193,3522
04/01/2016,B1002,488203,38987,4520
04/01/2016,B1003,314863,40734,3697
04/01/2016,B1004,329990,32011,3175
04/01/2016,B1005,243752,35146,3775
04/01/2016,B1006,393447,30633,4645
04/01/2016,B1007,361251,44703,3097
04/01/2016,B1008,249738,30314,4818
04/01/2016,B1009,446149,23830,3599
04/01/2016,B1010,310387,47597,4378
05/01/2016,B1000,307569,47745,3581
05/01/2016,B1001,497381,27675,4381
05/01/2016,B1002,216109,39647,2735
05/01/2016,B1003,265688,37347,4357
05/01/2016,B1004,205951,25297,3933
05/01/2016,B1005,470276,26339,4602
05/01/2016,B1006,429552,34993,4807
05/01/2016,B1007,476596,48104,5228
05/01/2016,B1008,460030,27802,4766
05/01/2016,B1009,459351,47591,4146
05/01/2016,B1010,498942,34140,4374
06/01/2016,B1000,332451,21944,4259
06/01/2016,B1001,358497,46514,3885
06/01/2016,B1002,216537,49269,3949
06/01/2016,B1003,397773,43278,2718
06/01/2016,B1004,490303,41112,5208
06/01/2016,B1005,371226,35925,4491
06/01/2016,B1006,499003,46981,3201
06/01/2016,B1007,313142,23787,4090
06/01/2016,B1008,317741,26631,2874
06/01/2016,B1009,370077,41555,2462
06/01/2016,B1010,414824,32686,2399
07/01/2016,B1000,460927,28072,4909
07/01/2016,B1001,255058,22048,4602
07/01/2016,B1002,266818,42219,4056
07/01/2016,B1003,438939,46136,4540
07/01/2016,B1004,465708,42630,2391
07/01/2016,B1005,284561,41079,5058
07/01/2016,B1006,404080,25445,3228
07/01/2016,B1007,202790,49762,3911
07/01/2016,B1008,293231,31431,2674
07/01/2016,B1009,205516,37058,5334
07/01/2016,B1010,333281,50319,4902
08/01/2016,B1000,252698,45063,2995
08/01/2016,B1001,223918,33654,4406
08/01/2016,B1002,395586,35793,2424
08/01/2016,B1003,346811,43615,4942
08/01/2016,B1004,379880,39069,4594
08/01/2016,B1005,329126,35694,3271
08/01/2016,B1006,431541,37407,4923
08/01/2016,B1007,283321,50542,2957
08/01/2016,B1008,221813,49394,2610
08/01/2016,B1009,447622,43570,3167
08/01/2016,B1010,216859,26048,2623
09/01/2016,B1000,244019,25874,5086
09/01/2016,B1001,207081,34311,4312
09/01/2016,B1002,370185,24478,4326
09/01/2016,B1003,397906,30891,3604
09/01/2016,B1004,309002,34569,4672
09/01/2016,B1005,404468,44257,2509
09/01/2016,B1006,421190,49361,2945
09/01/2016,B1007,307448,23543,3925
09/01/2016,B1008,308518,35338,4350
09/01/2016,B1009,259650,40670,3025
09/01/2016,B1010,394673,30268,4574
10/01/2016,B1000,334502,49641,3278
10/01/2016,B1001,234978,47808,5414
10/01/2016,B1002,331388,43291,4083
10/01/2016,B1003,340609,50631,3234
10/01/2016,B1004,432769,42244,5224
10/01/2016,B1005,361418,28023,4131
10/01/2016,B1006,500791,47578,2726
10/01/2016,B1007,444777,34513,5362
10/01/2016,B1008,337703,41417,4203
10/01/2016,B1009,303875,36139,3009
10/01/2016,B1010,340881,39723,2780
11/01/2016,B1000,256575,49911,4493
11/01/2016,B1001,285423,34744,4338
11/01/2016,B1002,223897,40455,3564
11/01/2016,B1003,220625,34226,3418
11/01/2016,B1004,373711,24183,4532
11/01/2016,B1005,494823,26004,4515
11/01/2016,B1006,207534,43201,3281
11/01/2016,B1007,331406,29970,4342
11/01/2016,B1008,257234,45635,2604
11/01/2016,B1009,246880,34473,3858
11/01/2016,B1010,471008,46082,3432
12/01/2016,B1000,422766,40969,3345
12/01/2016,B1001,378691,31953,5124
12/01/2016,B1002,502349,52346,4266
12/01/2016,B1003,229664,49339,4911
12/01/2016,B1004,402811,33358,4541
12/01/2016,B1005,293486,50913,3943
12/01/2016,B1006,273201,49197,4908
12/01/2016,B1007,304827,31378,2983
